Project,Repo Stars,Contributors,Closed Issues,Bug Title,Data Type,Root Cause,Subcategory,Symptom,Subcategory,Fixing Stratgy,Description
NVIDIA/CUTLASS,?8.2?k,199,333,[BUG]cute::_ and _ in C+= structured binding used together cause runtime issues. #2498 ,float,Data Type and Operator Bug,Data Type issue,Error Message,Overflow/Underflow,Add data type support or change data types(Reduce tile size or increase SMEM),GEMM kernel fails with a CUDA “out of resources” error when K is large because shared memory requirements exceed GPU  limits. Adjusting tile size or memory allocation is the solution.
NVIDIA/CUTLASS,?8.2?k,199,333,[Bug] Incorrect benchmark of cuteDsl/ampere/elementwise_apply.py #2339 ,"	float",Data Type and Operator Bug,Operator Bugs,Error Message,Operator,"	Refactor Operator Implementation","CUTLASS crashes in prefetch_epilog, due to unsafe logic during GEMM kernel epilog. Fix involved correcting predicate/load behavior in the operator backend."
NVIDIA/CUTLASS,?8.2?k,199,333,[bug] [CuTe DSL] for loop is wrong if step is negative #2326,,Data Type and Operator Bug,Data Type Bugs,Error Message,Data Type,"	Add Data Type Support or Change Data Type",Attempting to use fp8 as output in CUTLASS’s LinearCombination causes a compile error due to unsupported type traits. Requires adding fp8 support or switching types.
NVIDIA/CUTLASS,?8.2?k,199,333,[BUG] [BUG] Precision issue with python cutlass gemm #2014,NaN,Precision Bugs,Casting Bugs,"	Wrong Results",Upcasting/Downcasting Strategies,Upcast/Downcast Strategies,Adding float32 and int32 causes silent NaN output due to implicit casting
NVIDIA/CUTLASS,?8.2?k,199,333,"[BUG] #include ""cutlass/gemm/device/gemm_universal_adapter.h"" is causing the named symbol to not be found #1811",float16,Precision Bugs,Rounding/Approximation Bugs,Wrong Results,Different Precision Range,Change Precision,GEMM with float16 inputs and certain tiling configs produces wrong results; mixed precision fixes issue
apache/tvm,11.6?k,786,5300,"[Bug]
",int,Data Type and Operator Bugs,Data Type Bugs,Error Message,Data Type,Refactor operator / fix IR transformation,"the bug occurs in TileWithTensorIntrin when it calls PadEinsum and inlines padded inputs/outputs into their producers/consumers. If an input/output does not need padding, the transformation may inline irrelevant blocks, causing invalid accesses and a segfault. The fix is to track which producers/consumers are padded by PadEinsum and inline only those.
"
apache/tvm,11.6?k,786,5300,[Bug] Tensorization Failure During Multilevel Tiling with Tensor Intrin #16614 ,float,"	Data Type and Operator Bugs",Operator issue,Error Message,Operator,"	Refactor Operator Implementation","TileWithTensorIntrin inlined blocks that were not actually padded, due to incorrect logic in PadEinsum. This caused a segmentation fault during execution. The fix tracks which producers/consumers are padded and only inlines those."
apache/tvm,11.6?k,786,5300,[Bug] BuiltinLower has hard-coded heuristic for alloca which is not appropriate for all kDLCPU target devices #9022,float64,Precision Bugs,Rounding/Approximation Bugs,Wrong Results,Different Precision Range,Change Precision,float64 reduction on CUDA in TVM yields incorrect results due to faulty accumulation. Fix involved adjusting precision handling during GPU execution.
apache/tvm,11.6?k,786,5300,[Bug] LegalizeOps fails to process LayerNormalization of valid onnx model: tvm.error.InternalError: Check failed: shape.size() == indices.size() (1 vs. 0) #18002,float16,Precision Bugs,Arithmetic Operation Bugs,Wrong Results,Different Precision Range,Change Precision,te.lang.cce.vadd with float16 large tensor size gives incorrect results on Ascend backend; mixed precision likely fixes
apache/tvm,11.6?k,786,5300,[Bug] Mismatched Elements between TVM and ONNXRuntime #17988 ,float16,Precision Bugs,Rounding/Approximation Bugs,Wrong Results,Different Precision Range,Change Precision,"	On CUDA backend, topk with float16 inputs produces incorrect results vs CPU; float32 resolves mismatch"
Triton,7.5k,125,670,[BUG] Numerical mismatch between custom Triton kernel and PyTorch reference implementation #7045,Nan,Data Type and Operator Bugs,Data Type Bugs,"	Wrong Results",NaN Outputs,"	Add Data Type Support or Change Data Type",Mixing int32 with float16 in Triton causes NaN values. This occurs due to unsupported implicit casting or incompatible operation. Fixing this requires enforcing valid type rules or adding explicit casts.
Triton,7.5k,125,670,"[BUG] Low GLIBC limits bitsandbytes to 0.42.0 (causing Triton issues), while source-compiled newer bitsandbytes lacks __version__ attribute #6783","	float",Data Type and Operator Bugs,Operator Bugs,Wrong Results,NaN Outputs,"	Refactor Operator Implementation","Dividing by a constant float like 1.442695... causes NaN in Triton, unlike in PyTorch or NumPy. This indicates a backend bug in how constants or float ops are handled."
Triton,7.5k,125,670,[BUG] Matmul kernel precision mismatch #6265 ,fp16 + int32,Data Type and Operator Bugs,Data Type Bugs,Wrong Results,Different data types,"	Add Data Type Support or Change Data Type",Adding fp16 and int32 tensors fails silently in Triton without error or output. This is a data type mismatch and should be flagged during compilation or casting.
Triton,7.5k,125,670,[BUG] Float operation -- numerical accuracy #6221 ,float,Precision Bugs,Rounding/Approximation Bugs,Wrong Results,Different Precision Range,Change Precision,"Triton promotes float32 + float64 to float32, which contradicts NumPy and causes loss of precision. This bug stems from incorrect promotion rules and can be fixed by preserving higher precision in mixed operations."
